image,freshness,temperature
eye-fresh\mataSegar71-Small_jpeg.rf.e0447a693abd2ed4d9e1e0c708fc89a8.jpg,fresh,0.27
eye-fresh\mataSegar72-2-Small_jpeg.rf.075a356c593e7867288826e1423488ad.jpg,fresh,3.73
eye-fresh\mataSegar72-2-Small_jpeg.rf.4b3da6628ffd1ca05fddd74d13d219a6.jpg,fresh,1.44
eye-fresh\mataSegar72-2-Small_jpeg.rf.88ecccabab5f8c335887c6717e25d39e.jpg,fresh,2.1
eye-fresh\mataSegar72_jpeg.rf.51c9da80945361467773c9bfc47add7b.jpg,fresh,1.16
eye-fresh\mataSegar72_jpeg.rf.5edac30115ba2df879c407157afd4d88.jpg,fresh,2.48
eye-fresh\mataSegar72_jpeg.rf.a177344879330b36d5ea2685b4982a43.jpg,fresh,1.48
eye-fresh\mataSegar73-Small_jpeg.rf.191d06bfafd6aeb049f7ec69cefa0b34.jpg,fresh,1.39
eye-fresh\mataSegar73-Small_jpeg.rf.3e11abb7954488024af0369b742e15da.jpg,fresh,1.32
eye-fresh\mataSegar73-Small_jpeg.rf.ebdaf59b2e2a74c28453ce1fe2b51572.jpg,fresh,1.12
eye-fresh\mataSegar73_jpeg.rf.4fdbf4f8541d36d6c03d7c8143ac4d3f.jpg,fresh,1.01
eye-fresh\mataSegar73_jpeg.rf.d4ae3f6a701e74c0c26bd0c0da97fa82.jpg,fresh,2.18
eye-fresh\mataSegar73_jpeg.rf.d681a454ded452debe5487efc7892e37.jpg,fresh,2.21
eye-fresh\mataSegar74_jpeg.rf.6aa94030c7376c08e4225574eba3c7a6.jpg,fresh,3.97
eye-fresh\mataSegar74_jpeg.rf.773c448a498931ccd1edb35e96960bca.jpg,fresh,0.04
eye-fresh\mataSegar74_jpeg.rf.92f64db5382d1d3763f627e0aca013ff.jpg,fresh,2.72
eye-fresh\mataSegar75-2-Small_jpeg.rf.272c96eb8ac9fa7f496e217e2f715bb1.jpg,fresh,0.89
eye-fresh\mataSegar75-2-Small_jpeg.rf.6c1ab782ce66b528b635879d9d729f74.jpg,fresh,2.11
eye-fresh\mataSegar75-2-Small_jpeg.rf.cedeb3c5c89cd764dc7f222124ce5d6d.jpg,fresh,1.66
eye-fresh\mataSegar75-2_jpeg.rf.0fd8a35c14791e3f313637c73337d342.jpg,fresh,1.14
eye-fresh\mataSegar75-2_jpeg.rf.7453fbe9d96d7cd64cc8589fe1c859f3.jpg,fresh,0.69
eye-fresh\mataSegar75-2_jpeg.rf.87463621dc17733491f475ce5f2155d1.jpg,fresh,3.37
eye-fresh\mataSegar75-Small_jpeg.rf.68b1f7f5d9b9499695cd0541850806ba.jpg,fresh,2.9
eye-fresh\mataSegar75-Small_jpeg.rf.89a3190e21fbb3834b26f4b3c978440b.jpg,fresh,3.05
eye-fresh\mataSegar75-Small_jpeg.rf.f36f43d961d4cb2125794a90bc60cfc5.jpg,fresh,1.8
eye-fresh\mataSegar75_jpeg.rf.07b7aebccbd1944c2fd64aba6144ed27.jpg,fresh,2.15
eye-fresh\mataSegar75_jpeg.rf.6e49a1f90c61919b83324f2d6ca95920.jpg,fresh,3.08
eye-fresh\mataSegar75_jpeg.rf.b05af456fbc51ee112a7aed9021a9bba.jpg,fresh,1.12
eye-fresh\mataSegar76-Small_jpeg.rf.1a3c7c52dff81936dc6debbe5ec27f64.jpg,fresh,3.05
eye-fresh\mataSegar76-Small_jpeg.rf.55f639e8548b93e9ef9a80c3de587056.jpg,fresh,3.7
eye-fresh\mataSegar76-Small_jpeg.rf.c2f53948e53e57864ab7f0661dfacdd0.jpg,fresh,1.39
eye-fresh\mataSegar76_jpeg.rf.7a3afb5f21436adedb8a9b621191e04e.jpg,fresh,3.69
eye-fresh\mataSegar76_jpeg.rf.7f23082d336c3bccfa46bc2f9995b35c.jpg,fresh,0.45
eye-fresh\mataSegar76_jpeg.rf.980ada5297f0e78df9d28ec03fd29cf6.jpg,fresh,2.32
eye-fresh\mataSegar77-Small_jpeg.rf.54041436b2a8c5731216d52bb29e22cb.jpg,fresh,2.16
eye-fresh\mataSegar77-Small_jpeg.rf.5e484782339c4850640d1b7d5a9adc6b.jpg,fresh,0.5
eye-fresh\mataSegar77-Small_jpeg.rf.ebe427d06325d5d6564c35bdbcdf2e63.jpg,fresh,0.72
eye-fresh\mataSegar77_jpeg.rf.1ad47c598554f711df76d0f54b83784a.jpg,fresh,1.16
eye-fresh\mataSegar77_jpeg.rf.502f23d6dc5fd2b1bd1142944e12f08e.jpg,fresh,0.69
eye-fresh\mataSegar77_jpeg.rf.cfc40e472fee748e2da27c0aa1ea8eb0.jpg,fresh,1.53
eye-fresh\mataSegar78-2-Small_jpeg.rf.28140cc2962f4330372682cbfb861e49.jpg,fresh,2.99
eye-fresh\mataSegar78-2-Small_jpeg.rf.3fe093e865d8ab416cdf733a9f37f8fc.jpg,fresh,1.53
eye-fresh\mataSegar78-2-Small_jpeg.rf.e4f4512ff28ec1f8e76ef02e1eff1190.jpg,fresh,1.31
eye-fresh\mataSegar78-Small_jpeg.rf.2b12c7eb2ce0b1631dce43bec390e3c8.jpg,fresh,2.4
eye-fresh\mataSegar78-Small_jpeg.rf.86f640273c92d2f6b285828ad6820878.jpg,fresh,3.25
eye-fresh\mataSegar78-Small_jpeg.rf.e1c03e2146cde43ad1ad537d2c9a3e8c.jpg,fresh,0.58
eye-fresh\mataSegar78_jpeg.rf.56e51ec4cd5d772c7cbea2e3a0bff777.jpg,fresh,1.85
eye-fresh\mataSegar78_jpeg.rf.7f995e9651b2faa47859616094a6826f.jpg,fresh,0.04
eye-fresh\mataSegar78_jpeg.rf.dd7d7795bf4cf008cd56c54217060402.jpg,fresh,0.42
eye-fresh\mataSegar79-2-Small_jpeg.rf.14e89f81eca98446f26cbce6a45fcd7a.jpg,fresh,2.94
eye-fresh\mataSegar79-2-Small_jpeg.rf.50148c2b4040d36e423b5087260acbd3.jpg,fresh,1.63
eye-fresh\mataSegar79-2-Small_jpeg.rf.cb8a8543231bf50ef5aa982d61053bee.jpg,fresh,3.14
eye-fresh\mataSegar79-2_jpeg.rf.920c211da62717b78ec773de06888d60.jpg,fresh,2.91
eye-fresh\mataSegar79-2_jpeg.rf.f094d7e370b860c3920210086078aec5.jpg,fresh,3.65
eye-fresh\mataSegar79-2_jpeg.rf.f5e791cc06eba6334ca48062b4dbc561.jpg,fresh,0.51
eye-fresh\mataSegar79-Small_jpeg.rf.278bfa0727380bcb70d44462cb59d2d7.jpg,fresh,0.12
eye-fresh\mataSegar79-Small_jpeg.rf.41214710e9222fdf50ae064354ace47f.jpg,fresh,3.8
eye-fresh\mataSegar79-Small_jpeg.rf.d71756f0623d099c01aa394a653f02a3.jpg,fresh,0.28
eye-fresh\mataSegar79_jpeg.rf.0dc78045064d7394f834703bfeb6ef9c.jpg,fresh,0.64
eye-fresh\mataSegar79_jpeg.rf.94ce97ef802e96186acb1dac515f1e9c.jpg,fresh,0.9
eye-fresh\mataSegar79_jpeg.rf.d270b619e6e97c0b0474d78b50e9a507.jpg,fresh,1.91
eye-fresh\mataSegar8-Small_jpeg.rf.6b90089efbe4231d678aec2f02da5aeb.jpg,fresh,0.86
eye-fresh\mataSegar8-Small_jpeg.rf.ebeb503cb83c7e1e894bed38f7f97112.jpg,fresh,1.99
eye-fresh\mataSegar8-Small_jpeg.rf.f90eba62a747d689b5cecad4fe86f427.jpg,fresh,0.13
eye-fresh\mataSegar80-2-Small_jpeg.rf.2504f4dba610043cae3c3e162fc0ea90.jpg,fresh,3.42
eye-fresh\mataSegar80-2-Small_jpeg.rf.db1d08059d87048a43c3153cd5b73052.jpg,fresh,2.7
eye-fresh\mataSegar80-2-Small_jpeg.rf.e27fb4aeb1b5d4137266f25c2e8d520f.jpg,fresh,0.68
eye-fresh\mataSegar80-2_jpeg.rf.4ce4eab57c940c6dec996c479b4ccc4d.jpg,fresh,0.41
eye-fresh\mataSegar80-2_jpeg.rf.5a0410313bbc62f30914308e0e4e240a.jpg,fresh,0.7
eye-fresh\mataSegar80-2_jpeg.rf.7fa81e7ea7ba011c0fd4b181224c92c0.jpg,fresh,1.48
eye-fresh\mataSegar80-Small_jpeg.rf.d6d2e650dd629e2795b724075ba37728.jpg,fresh,2.34
eye-fresh\mataSegar80-Small_jpeg.rf.f5645c1212d4e8af2c3787cc27d991dc.jpg,fresh,3.28
eye-fresh\mataSegar80-Small_jpeg.rf.fe5464b043b734b657d487dbdda04cc3.jpg,fresh,0.06
eye-fresh\mataSegar80_jpeg.rf.677a55313ce52563716171741a499fc9.jpg,fresh,2.1
eye-fresh\mataSegar80_jpeg.rf.69529da72625e5ab8e72cab3dafeb352.jpg,fresh,3.36
eye-fresh\mataSegar80_jpeg.rf.ff0f4bde77a846699e65dfe8751db84a.jpg,fresh,2.36
eye-fresh\mataSegar81-2-Small_jpeg.rf.07d2b2b93b42ed1e16fb4c968a362bc5.jpg,fresh,0.07
eye-fresh\mataSegar81-2-Small_jpeg.rf.8d549370c3d13686eb36d1e149b0a3bc.jpg,fresh,0.83
eye-fresh\mataSegar81-2-Small_jpeg.rf.d966a03ddcdf4bdea5900217e238b1c1.jpg,fresh,2.63
eye-fresh\mataSegar81-Small_jpeg.rf.5706f40d93a07ba56a77218e798534ae.jpg,fresh,0.08
eye-fresh\mataSegar81-Small_jpeg.rf.684b49167847d0be8b7fdc329820e66a.jpg,fresh,1.57
eye-fresh\mataSegar81-Small_jpeg.rf.aa2ea5eeb558018d9fad3a1760c0d9c3.jpg,fresh,2.84
eye-fresh\mataSegar81_jpeg.rf.1bb68ed9506270372d72595d583595e8.jpg,fresh,3.02
eye-fresh\mataSegar81_jpeg.rf.9ca5c5ec7575046fe4dafb5f7509e0ca.jpg,fresh,1.99
eye-fresh\mataSegar81_jpeg.rf.b647a8e88bceac14ee93465ea8cc4339.jpg,fresh,1.89
eye-fresh\mataSegar82-2-Small_jpeg.rf.8c128c45fe53d5b4fe1e6350e5fda1d4.jpg,fresh,1.3
eye-fresh\mataSegar82-2-Small_jpeg.rf.b3c154c54d9f6dc79df2791ebfd2ab4e.jpg,fresh,3.89
eye-fresh\mataSegar82-2-Small_jpeg.rf.dd125c61d1ff64e682ecf92a799fae7e.jpg,fresh,3.98
eye-fresh\mataSegar82-2_jpeg.rf.3d160a3f62163f5a33b612f36993dc2e.jpg,fresh,2.08
eye-fresh\mataSegar82-2_jpeg.rf.b846c1dfb8a4da0332860fa5cd921651.jpg,fresh,2.51
eye-fresh\mataSegar82-2_jpeg.rf.e19049d10add5f3ef4fbcc9a09d6e1f2.jpg,fresh,3.28
eye-fresh\mataSegar82_jpeg.rf.7fb2ef20b02e078ac470aeb68ce35972.jpg,fresh,1.6
eye-fresh\mataSegar82_jpeg.rf.9326c666f5896bc2c2a67563041c62e2.jpg,fresh,1.5
eye-fresh\mataSegar82_jpeg.rf.fbd892c6d11998c477e1e2a55d11eecb.jpg,fresh,2.99
eye-fresh\mataSegar83-2_jpeg.rf.352c5a36115bf23746f74404f3d78e7d.jpg,fresh,2.59
eye-fresh\mataSegar83-2_jpeg.rf.8f496559d6ebe1551ea530e1667b225b.jpg,fresh,2.11
eye-fresh\mataSegar83-2_jpeg.rf.9c7c867e922d74f6afc498b651518b9b.jpg,fresh,1.72
eye-fresh\mataSegar83_jpeg.rf.7399cf2280ca80438c3e5a8ea270b6c2.jpg,fresh,3.02
eye-fresh\mataSegar83_jpeg.rf.c13bd1883d9412b31b986b03a6e9fbe5.jpg,fresh,0.45
eye-fresh\mataSegar83_jpeg.rf.fe4d67a633e75904eb609051e921ee64.jpg,fresh,3.52
eye-fresh\mataSegar84-Small_jpeg.rf.82b3040043767465f5a5bc2620022ec2.jpg,fresh,0.47
eye-fresh\mataSegar84-Small_jpeg.rf.df4eb8dea2c988b9df47d155f81b8344.jpg,fresh,0.94
eye-fresh\mataSegar84-Small_jpeg.rf.fa59e1719d3f4db29ae9c36abb8202b7.jpg,fresh,1.58
eye-fresh\mataSegar84_jpeg.rf.b902beb52f02716f04f74cf45ddfd537.jpg,fresh,1.92
eye-fresh\mataSegar84_jpeg.rf.de24fe8bd0a0fe637698a016ce07472d.jpg,fresh,0.61
eye-fresh\mataSegar84_jpeg.rf.fa6bbf3538d901d9c6b7967b42fc59f2.jpg,fresh,1.65
eye-fresh\mataSegar85-2-Small_jpeg.rf.151055aed5ec1d6cd10a5b40b0c33dd6.jpg,fresh,2.31
eye-fresh\mataSegar85-2-Small_jpeg.rf.6029756c8bb333a08c149bb8786dd445.jpg,fresh,0.3
eye-fresh\mataSegar85-2-Small_jpeg.rf.65c0622eb8224c9a45b06e917a2e23db.jpg,fresh,0.94
eye-fresh\mataSegar85-2_jpeg.rf.62da5fdf62d7aecb045e0a53cac5544b.jpg,fresh,2.68
eye-fresh\mataSegar85-2_jpeg.rf.c944feda2b0dc730817480c7607f455c.jpg,fresh,0.55
eye-fresh\mataSegar85-2_jpeg.rf.ebb4997bb1a89550c59fc3a4f90430d8.jpg,fresh,2.66
eye-fresh\mataSegar85-Small_jpeg.rf.19c0b1545d081df3e8286e01322b9d2a.jpg,fresh,1.82
eye-fresh\mataSegar85-Small_jpeg.rf.4863246c7a71656e657ca86c3a28deda.jpg,fresh,0.92
eye-fresh\mataSegar85-Small_jpeg.rf.feb7696c695d089c664b870fc7d385f0.jpg,fresh,0.28
eye-fresh\mataSegar86-2_jpeg.rf.89e9cd9873a21317c54df931d0aba839.jpg,fresh,3.51
eye-fresh\mataSegar86-2_jpeg.rf.df49712abfea9a0c276541cc314d1201.jpg,fresh,2.35
eye-fresh\mataSegar86-2_jpeg.rf.fd620c65de81b5195d98bbcc358fd548.jpg,fresh,1.36
eye-fresh\mataSegar86-Small_jpeg.rf.5667807c3fdf31a15cb6abb9d74041b6.jpg,fresh,1.02
eye-fresh\mataSegar86-Small_jpeg.rf.82b9eb7e9df35feaa6a8f9d038c5bf98.jpg,fresh,2.63
eye-fresh\mataSegar86-Small_jpeg.rf.8e518936533be170a1f32a7fa4205430.jpg,fresh,3.86
eye-fresh\mataSegar87-2_jpeg.rf.188a2a3592f7a892586df295a7d23b05.jpg,fresh,1.07
eye-fresh\mataSegar87-2_jpeg.rf.5e047a224b8df483178b5312e5f1f015.jpg,fresh,0.22
eye-fresh\mataSegar87-2_jpeg.rf.8a8d42b59d69dcb56622bc7591993df6.jpg,fresh,0.9
eye-fresh\mataSegar87-Small_jpeg.rf.0603f31714bbf5c6e2ab79f34eb316dd.jpg,fresh,1.38
eye-fresh\mataSegar87-Small_jpeg.rf.36b125dc9f49b6966b23062f4b0ede60.jpg,fresh,1.49
eye-fresh\mataSegar87-Small_jpeg.rf.f061a8f5a7ee78faa8bbc09fa3f4b834.jpg,fresh,1.21
eye-fresh\mataSegar87_jpeg.rf.4d4a5398be6250179ea568ef09cd990a.jpg,fresh,3.31
eye-fresh\mataSegar87_jpeg.rf.66fdee9a8b356f49cbd2839bf7d8e6c6.jpg,fresh,3.55
eye-fresh\mataSegar87_jpeg.rf.dbf0647a6f904f07948b43019c2bed73.jpg,fresh,3.29
eye-fresh\mataSegar88-2-Small_jpeg.rf.9c7d57be8e199e1c12baf330cab8cbba.jpg,fresh,1.69
eye-fresh\mataSegar88-2-Small_jpeg.rf.cadd765be17e66bdad3c04ec54a32675.jpg,fresh,0.48
eye-fresh\mataSegar88-2-Small_jpeg.rf.ddb991def3582b6b936471cbf6c7b740.jpg,fresh,0.92
eye-fresh\mataSegar88-2_jpeg.rf.0205e7f857c37587de1f6d01a5cbe7e9.jpg,fresh,3.95
eye-fresh\mataSegar88-2_jpeg.rf.725f49ba091fed216b75b5714675ccf3.jpg,fresh,3.45
eye-fresh\mataSegar88-2_jpeg.rf.7bdd2c94b4fe2f20a21cc03a478fa50f.jpg,fresh,2.86
eye-fresh\mataSegar88-Small_jpeg.rf.625d55148924986ddf07a22ae9c3f6ad.jpg,fresh,2.76
eye-fresh\mataSegar88-Small_jpeg.rf.6b0f4e49ef2b46161d1f6c2beaca01c8.jpg,fresh,0.96
eye-fresh\mataSegar88-Small_jpeg.rf.82fd150d81ca7b8ccab90bb856c9c518.jpg,fresh,1.76
eye-fresh\mataSegar89-2-Small_jpeg.rf.0e885dfda7d95089b1282f662d897138.jpg,fresh,2.26
eye-fresh\mataSegar89-2-Small_jpeg.rf.59e9356b630daac03027a6c19ee2c1d2.jpg,fresh,2.83
eye-fresh\mataSegar89-2-Small_jpeg.rf.be1d877ce0baba034779b9877bd61321.jpg,fresh,3.52
eye-fresh\mataSegar89-Small_jpeg.rf.121e0e12fc0d4cf759e55ab12bff69cc.jpg,fresh,1.77
eye-fresh\mataSegar89-Small_jpeg.rf.a3fac51bab0b1adf68d3011ab1d4aa20.jpg,fresh,3.09
eye-fresh\mataSegar89-Small_jpeg.rf.dc8139558c7ad554974505e6bf7a5a08.jpg,fresh,2.44
eye-fresh\mataSegar8_jpeg.rf.a2d0d3d6dd492e96851558f46598bdda.jpg,fresh,3.42
eye-fresh\mataSegar8_jpeg.rf.c828349a31f3797fd8c12039ca98a277.jpg,fresh,2.41
eye-fresh\mataSegar8_jpeg.rf.cf4ae66c2fb8242120228151d7eb3d50.jpg,fresh,1.49
eye-fresh\mataSegar90-Small_jpeg.rf.70c748d00ac0b2d06d6b9a26c946c807.jpg,fresh,1.98
eye-fresh\mataSegar90-Small_jpeg.rf.88a532799f902e07b6bdfbd2640ff572.jpg,fresh,2.07
eye-fresh\mataSegar90-Small_jpeg.rf.b4a7efcf7b90ec92784777b854f5b97b.jpg,fresh,3.14
eye-fresh\mataSegar90_jpeg.rf.1929d8aa70f1407b79daf171b754d5f7.jpg,fresh,1.06
eye-fresh\mataSegar90_jpeg.rf.1c9343b81c820964a2737e713287160a.jpg,fresh,2.9
eye-fresh\mataSegar90_jpeg.rf.5fbd0e16349d6041943ff22aed0cb726.jpg,fresh,3.29
eye-fresh\mataSegar91-Small_jpeg.rf.1de56d167dc4d9f8986eeafb554006b4.jpg,fresh,2.58
eye-fresh\mataSegar91-Small_jpeg.rf.43538805f042c351727ca7771b45e1eb.jpg,fresh,3.7
eye-fresh\mataSegar91-Small_jpeg.rf.70b8dade32bb939332ffac8775d2365a.jpg,fresh,1.7
eye-fresh\mataSegar91_jpeg.rf.a2f976519bf9b587f5913cd71be88e35.jpg,fresh,0.91
eye-fresh\mataSegar91_jpeg.rf.c9d85779ee571bc8c6a552ac930ca8d7.jpg,fresh,3.09
eye-fresh\mataSegar91_jpeg.rf.f392052291e4496dd42657be8585b0ea.jpg,fresh,0.26
eye-fresh\mataSegar92-Small_jpeg.rf.43480614acf69b970d48e1574fe4cc70.jpg,fresh,2.68
eye-fresh\mataSegar92-Small_jpeg.rf.8389f0b0e47b74ce7c0ed225677ffb76.jpg,fresh,1.24
eye-fresh\mataSegar92-Small_jpeg.rf.8cbb653bd4e71a46e392c69609234450.jpg,fresh,1.19
eye-fresh\mataSegar92_jpeg.rf.17105b61859f6bfda1a3c8c5f4ebeabd.jpg,fresh,0.44
eye-fresh\mataSegar92_jpeg.rf.3a8ec60964aa6cf23c5d39460d4499c8.jpg,fresh,1.58
eye-fresh\mataSegar92_jpeg.rf.64a15187ca3e1647d9c1c493fdffed57.jpg,fresh,0.97
eye-fresh\mataSegar93-2_jpeg.rf.4b1b63e9923b1ef2f191373ab3612f6b.jpg,fresh,1.51
eye-fresh\mataSegar93-2_jpeg.rf.54c3eb379c9b737f6edb7066e7de9d4d.jpg,fresh,2.16
eye-fresh\mataSegar93-2_jpeg.rf.76643ec76ddd5bfc001fa9f38b6f1f1c.jpg,fresh,0.62
eye-fresh\mataSegar93-Small_jpeg.rf.67ce772bf7c943f5f82b21c19526a63c.jpg,fresh,0.94
eye-fresh\mataSegar93-Small_jpeg.rf.840fcc89a2ac718f6b29a05bb687df05.jpg,fresh,3.44
eye-fresh\mataSegar93-Small_jpeg.rf.9bbcf442489791f8195e1124d6910c48.jpg,fresh,1.11
eye-fresh\mataSegar94-2_jpeg.rf.32d286d03799a47609103f096a0a664d.jpg,fresh,3.28
eye-fresh\mataSegar94-2_jpeg.rf.6ade3c511c83f314bd9e6d153430498a.jpg,fresh,3.26
eye-fresh\mataSegar94-2_jpeg.rf.b1c352ddb9e0d7e2567f4602fa64be41.jpg,fresh,1.69
eye-fresh\mataSegar94-3-Small_jpeg.rf.802f2be96a51e8ca4f01d22e9c10a6f4.jpg,fresh,0.29
eye-fresh\mataSegar94-3-Small_jpeg.rf.8861ea12bd3564a46af1c3830c71e8e4.jpg,fresh,2.4
eye-fresh\mataSegar94-3-Small_jpeg.rf.f01cc54fd0e8b8a3e496189d3f6dec8e.jpg,fresh,1.99
eye-fresh\mataSegar94-3_jpeg.rf.400def400d6dee0b8c05e062bf59f094.jpg,fresh,3.86
eye-fresh\mataSegar94-3_jpeg.rf.5fec3b754fe5a26259e9b82ad1e204a2.jpg,fresh,3.05
eye-fresh\mataSegar94-3_jpeg.rf.7f977e2429ac903e5507d5eb434da468.jpg,fresh,0.48
eye-fresh\mataSegar94-Small_jpeg.rf.038ba06f5eccdcb42e4495ef0e61f2a4.jpg,fresh,2.16
eye-fresh\mataSegar94-Small_jpeg.rf.2ef9eeecceede132afd0733330a25492.jpg,fresh,2.69
eye-fresh\mataSegar94-Small_jpeg.rf.4ba326c08b15d5bb5b4b25f9c61073b8.jpg,fresh,1.83
eye-fresh\mataSegar94_jpeg.rf.756d23ad3e662e2f46fd13c1045e4f99.jpg,fresh,3.6
eye-fresh\mataSegar94_jpeg.rf.efe68a943f951b775e9c5f65fda067ee.jpg,fresh,3.32
eye-fresh\mataSegar94_jpeg.rf.faad8eca7829dc6f29a067aa1d573db3.jpg,fresh,0.36
eye-fresh\mataSegar95-2-Small_jpeg.rf.80219dab1ca079911495a6453d5523fb.jpg,fresh,1.82
eye-fresh\mataSegar95-2-Small_jpeg.rf.8e4256193661232076da4c165932899b.jpg,fresh,1.84
eye-fresh\mataSegar95-2-Small_jpeg.rf.ae2761a728dfb715883cbe92f70a218e.jpg,fresh,0.39
eye-fresh\mataSegar95-3-Small_jpeg.rf.1d2b34fb7b0854c07eb2806cb476dea9.jpg,fresh,2.32
eye-fresh\mataSegar95-3-Small_jpeg.rf.6fc46df53d0afca2c2f3c74c071e5139.jpg,fresh,3.51
eye-fresh\mataSegar95-3-Small_jpeg.rf.df5819f7befe87be50e99206e8fa5a0f.jpg,fresh,2.19
eye-fresh\mataSegar95_jpeg.rf.6d0716bdc2ca1fd39e98b86832eb2e13.jpg,fresh,2.23
eye-fresh\mataSegar95_jpeg.rf.8d5952dc5856cf04e20dd5ed19b4f589.jpg,fresh,1.22
eye-fresh\mataSegar95_jpeg.rf.efca8be0022d206e4fc5d8602167aabc.jpg,fresh,0.08
eye-fresh\mataSegar96-2-Small_jpeg.rf.0587aba6b598426110a3e84a1019fc76.jpg,fresh,1.41
eye-fresh\mataSegar96-2-Small_jpeg.rf.7c015326d0ca2173adf99cb714d09e35.jpg,fresh,3.54
eye-fresh\mataSegar96-2-Small_jpeg.rf.9837ae85bd186059d8d744e2b24133ae.jpg,fresh,0.78
eye-fresh\mataSegar96-2_jpeg.rf.84289d8d22bdc7f267fcd4c34d748f71.jpg,fresh,2.27
eye-fresh\mataSegar96-2_jpeg.rf.ad16ab82532169f42ecdd11dd06da1cf.jpg,fresh,2.77
eye-fresh\mataSegar96-2_jpeg.rf.b7c85d20bfbf821dca75e888c0785495.jpg,fresh,2.33
eye-fresh\mataSegar96-3-Small_jpeg.rf.11a593c0d8860a1287740a209292ff99.jpg,fresh,2.21
eye-fresh\mataSegar96-3-Small_jpeg.rf.589336474074d19896dcae65b63b5e55.jpg,fresh,2.13
eye-fresh\mataSegar96-3-Small_jpeg.rf.cc5c79c1faedccc3d5a0bf49242d739c.jpg,fresh,1.22
eye-fresh\mataSegar96-3_jpeg.rf.1d6dc384bfc4491160da69437721ffee.jpg,fresh,0.42
eye-fresh\mataSegar96-3_jpeg.rf.b0d0b016d2c45deffefa906034aa019f.jpg,fresh,3.88
eye-fresh\mataSegar96-3_jpeg.rf.e422204edcdf2f537f8a83c4bf57a464.jpg,fresh,0.8
eye-fresh\mataSegar96-4-Small_jpeg.rf.7a0707ee06ae49f981f766c1fbf6b145.jpg,fresh,3.75
eye-fresh\mataSegar96-4-Small_jpeg.rf.db5b8bf346e83520b1a47c37c3b39d5e.jpg,fresh,0.56
eye-fresh\mataSegar96-4-Small_jpeg.rf.dc91a6672aaf8f2263812e157f0583bc.jpg,fresh,0.81
eye-fresh\mataSegar96-4_jpeg.rf.7fbc132fa60c34a5d566e31acf6eb1ce.jpg,fresh,0.4
eye-fresh\mataSegar96-4_jpeg.rf.e2209b23face735885d0c20e3c6560ab.jpg,fresh,2.7
eye-fresh\mataSegar96-4_jpeg.rf.efa0f70cb8275c5c801ffbb766a2ea8a.jpg,fresh,3.43
eye-fresh\mataSegar96-Small_jpeg.rf.c8937c645a2a344e4d6d02befe7f0101.jpg,fresh,1.54
eye-fresh\mataSegar96-Small_jpeg.rf.d553bb06e74b5ad6f7e2a94bbd88a5a5.jpg,fresh,1.7
eye-fresh\mataSegar96-Small_jpeg.rf.f41e61daef381aae2e6321e02460b576.jpg,fresh,3.2
eye-fresh\mataSegar96_jpeg.rf.1cb4fa5cc37ae197e0cfdeb66e4324e6.jpg,fresh,3.06
eye-fresh\mataSegar96_jpeg.rf.43604a9e958067d6bdc109232c40263f.jpg,fresh,1.21
eye-fresh\mataSegar96_jpeg.rf.553a364d8a793f904d65731d189765d6.jpg,fresh,3.52
eye-fresh\mataSegar97-Small_jpeg.rf.406a7974f0c87a901b19a9cd3aa726c4.jpg,fresh,1.27
eye-fresh\mataSegar97-Small_jpeg.rf.624cb25b3370309afadd22c51bc23ec7.jpg,fresh,3.91
eye-fresh\mataSegar97-Small_jpeg.rf.f1c641cb3da7c4f3136e8962b2606b8c.jpg,fresh,0.8
eye-fresh\mataSegar97_jpeg.rf.43a72d64480f84cb510294f8eadae855.jpg,fresh,2.65
eye-fresh\mataSegar97_jpeg.rf.ab631f82861d9af2af329572ef4098ca.jpg,fresh,2.58
eye-fresh\mataSegar97_jpeg.rf.c8d39f9e36d5e808345ede7f9a0c2f5e.jpg,fresh,3.2
eye-fresh\mataSegar98-3_jpeg.rf.22d507cad7055047772f4d61385a08c6.jpg,fresh,1.34
eye-fresh\mataSegar98-3_jpeg.rf.7a717590b8da503eb9aeb1724c65e765.jpg,fresh,1.94
eye-fresh\mataSegar98-3_jpeg.rf.ce9cc8a455ab709acda2f759f6e9ad37.jpg,fresh,3.11
eye-fresh\mataSegar98-Small_jpeg.rf.12d2184dd5b94c9230b9156382797b28.jpg,fresh,2.08
eye-fresh\mataSegar98-Small_jpeg.rf.396fed6b3032b3d86c9bd0a0ec3cea3d.jpg,fresh,0.62
eye-fresh\mataSegar98-Small_jpeg.rf.b73cc6d90a9b05f46843b7eb52ffd0d0.jpg,fresh,3.35
eye-fresh\mataSegar98_jpeg.rf.5e27c8c1464d5d179ecae19c75366dbe.jpg,fresh,1.71
eye-fresh\mataSegar98_jpeg.rf.ae39930c7ba2e09586e71737c5b4d0a0.jpg,fresh,2.43
eye-fresh\mataSegar98_jpeg.rf.da518bb53c4c45e62fdb211b14c54edd.jpg,fresh,3.8
eye-fresh\mataSegar99_jpeg.rf.2a5b46a7849bf423db7a8c9f284460b4.jpg,fresh,2.83
eye-fresh\mataSegar99_jpeg.rf.b09761f8d271b70e041e109abb2ea001.jpg,fresh,0.88
eye-fresh\mataSegar99_jpeg.rf.f33b3dea9baf7ee75b98c2f3eac17f10.jpg,fresh,1.55
eye-fresh\mataSegar9_jpeg.rf.3fa96d0157ea41228e18455e5be9f458.jpg,fresh,0.92
